track_id	track_name
608	Seve (Radio Edit)
648	白い雪 (白雪)
690	处处吻
722	Falling Stars
832	说不出口
920	再也没有人叫我穿秋裤
1020	"Oh	 Lola"
1038	阿刁 (Live)
1083	我的新衣 (Live)
7268	不要对他说
89756	女人花
94649	爱不后悔
102257	让一切随风
144295	美丽的错误
229885	你是我的温柔
434448	当我孤独的时候还可以抱着你
462525	深夜地下铁
473821	最后的华尔滋
561922	骆驼
643548	看天下劳苦人民都解放
716662	男儿当自强
718477	夜曲
837574	牵手
931489	妹妹
932007	世界に一つだけの花 (世界上唯一的花)
947867	贝贝熊之宠物真麻烦
1034902	光阴的故事
1086721	爱的供养 (新版)
1171602	李香兰
1247012	To Meet Even Know
1248556	讲故事
1407843	同桌的你
1416779	离别的车站
1442576	牵挂你的人是我
1542092	似是故人来
1542867	恰似你的温柔
1732031	国旗之恋
1775723	我的歌声里
2465865	全世界最伤心的人
2481961	拥抱你的微笑
2553065	童年地小摇车
2681995	批三国 (节目)
3437900	风含情水含笑
3539559	回心转意
3539953	甩葱歌
4757068	把你藏在怀里
4803886	信天游
4829696	一生中最爱
4830349	夜夜夜夜 (Live)
4830799	你把爱情给了谁
4876849	遇见
4907407	风中的承诺
4924804	兄弟
5025672	Perfect
5061216	我要飞 (Live)
5061858	我的蒙古马
5077316	吻得到	爱不到
5101202	只想做你的男人
5156455	爱的世界只有你
5162114	勿忘心安 (Live)
5228536	Melody Remix
5588857	偏偏喜欢你
5924071	前任女友
7022132	姑娘我爱你
7032515	爱拼才会赢
7064988	男神
7072290	平凡之路
7257476	Don't Cha
7395144	恭喜你
8139690	等你等了那么久
8162614	That Girl (Album Version)
9478650	老地方
101133228	鞋子特大号
101138072	闭嘴
101806757	走马
102066450	菊花台
102209813	小芳
102210812	最炫民族风
102697748	下雨天
102899168	一路上有你 (Live)
102918231	黑猫警长
103195118	咱们结婚吧 (抒情版)
103204782	十年
104355643	晚安
105165008	逝年
105576121	开门见山 (Live)
105665387	原野牧歌
105677466	五毒论 (节目)
105868694	海蜇的眼睛 (节目)
105987394	野子
106410783	爱你在心口难开
106643759	想你的夜
107400434	Anywhere
107564423	工程车
107794269	光明 (Live)
107900325	Anywhere I Go
108150499	大众男神
108514062	White Lie
108756497	吉拉拉 (口白)
108919933	恰似你的温柔
109293658	Driving Home for Christmas
123841493	套马杆 (Live)
123960528	心上的罗加
124901848	爱我所爱（《欢乐颂》电视剧剧场版）
125074228	陈平 -
200282183	漂洋过海来看你 (Live)
200502761	我在淮南等你
200582000	I Love Disco
200736567	是我放不下
201590556	寂寞才说爱
201603936	偶阵雨
202047584	Forever young
202551405	遇到爱
202565185	再也没有
203040541	思念的牢
203130538	We Don't Belong
203255241	菊花台 (Live)
203370868	撒野
203503856	光辉岁月 (咚鼓版)
203607567	咖喱咖喱
203624558	追光者
203642418	专属情歌
203651112	新长征路上的摇滚 (Live)
204179117	大鱼 (Live)
204191382	兄弟别太累
204298832	往事随风 (Live)
204417422	第1集 (节目)
204782825	走心小卖家
207642123	猫的我 (童声版)
208930883	Heartbeats
212427044	终于遇见你
212433699	心愿便利贴
212701149	杀死里昂
212714292	星夜的呼唤
212740158	少女与海
212808796	醉千年
212860756	牛在飞
212864958	离开我你会快乐吗
213317522	Super Love
213323700	再也没有 (Live)
213370091	你是我最深爱的人
213381934	无奈情歌
213667597	拥抱着你离去 (DJ版)
213682863	山歌好比春江水
213829629	为爱一生守候
213909954	真心爱你 (DJ何鹏版)
213915784	未来的事
213968403	走过冬季
214032605	这样的恋爱
214039228	大千世界
214227886	什么乐
214318931	因为爱情 (Live)
214381058	学猫叫
215725995	猫的生存法则
215741268	爱情小丑
216008220	姑娘
216268235	关公战秦琼
216527775	2018车载中文DJ (DJ版)
217250538	月牙泉 (Live)
217256069	想要的拿紧拿稳 (DJ版)
217498335	Pedal To The Metal
217505924	不及雨
217600534	可不可以给我你的微信
218009834	在一起
218458420	侧脸 (DJ版)
218739569	穿越火线
219725404	刘欢近照曝光：我逝去的30年	再也不会从头再来 (节目)
221695451	绝代风华
221837942	光年之外 (Remix)
222260464	激光雨 (DJ版)
222374477	为了明天
223012397	98K (DJ版)
224544701	我的心里只有你没有他
225716644	知否知否
227516299	口是心非 (抖音版)
227814365	要快乐
227979846	我们 (Live)
228055177	我们
228471069	未了 (Live)
228546763	康定情歌 + 想把我唱给你听 + 最浪漫的事 (Live)
30	This Is What You Came For
34	坐在巷口得那对男女
48	You Belong With Me
55	红日
57	17岁
134	破晓时分
166	Faded
167	Starboy
205	摩天轮
246	晨雾
275	運命のルーレット廻して
347	无聊人
378	杳杳
415	The Rest of Our Life
503	Sign
514	GENIE
671	Bad Romance
688	旧情绵绵
849	江湖少年
918	我们的时光
947	想把我唱给你听
995	Gracie's Theme
1071	撩人环绕曲 (Remix)
1079	差不多先生 (Live)
1094	起风了
1103	把悲伤留给自己
14905	孟婆汤
80385	Panama
96521	白月光
99945	梦一场
107685	单身情歌
137890	神仙歌
151577	解脱
179990	练习 (Live)
227834	你的眼神
262853	男儿当自强
403778	不能说的秘密
